"","GEOID","total","hh.net","hh.net.share","pop2013","pop2018","r2013","r2018","r_diff","r_diff_tr","un13","white2013share","income2013","names","area_h","commuting.minutes2013","service2013","commuting.minutes2005","names.full","bachelors2005","uni.freq"
"1","10140",26815,18781,0.70039157188141,71078,73901,481,474,7,0.506809338521401,14.9,0.876980218914432,22525,"Aberdeen, WA",492621.8548,24,76.8,19.8,"Aberdeen, WA Micro Area",7.5,0
"2","10180",60588,39975,0.659784115666469,168144,174006,250,249,1,0.500972762645914,5.3,0.824174517080598,20994,"Abilene, TX",710557.7372,16.9,86.7,16.7,"Abilene, TX Metro Area",14.2,0
"3","10300",37270,27212,0.730131473034612,99188,98266,388,395,-7,0.493190661478599,8.9,0.924416260031455,23562,"Adrian, MI",194133.9768,25.4,71.9,24.3,"Adrian, MI Micro Area",13.1,0
"4","10420",281324,209998,0.746463152806017,705686,704845,78,83,-5,0.495136186770428,9.4,0.826605600791287,25830,"Akron, OH",233161.9578,23.1,77.2,22.4,"Akron, OH Metro Area",18.4,2
"5","10500",56505,35652,0.630953013007698,156277,151158,264,281,-17,0.483463035019455,15.6,0.429525777945571,20424,"Albany, GA",500540.2344,20.3,79.3,19.1,"Albany, GA Metro Area",11.5,0
"6","10540",43911,32856,0.748240759718522,118765,127335,342,326,16,0.51556420233463,11.1,0.934079905696123,21322,"Albany, OR",593281.5078,22.3,74.9,22.5,"Albany-Lebanon, OR Micro Area",10.9,0
"7","10580",347942,270920,0.778635519713056,877905,883169,62,64,-2,0.498054474708171,7.5,0.843827065570876,30400,"Albany-Schenectady-Troy, NY",728210.6737,22.4,86.3,22.3,"Albany-Schenectady-Troy, NY Metro Area",16.9,2
"8","10700",33738,20287,0.601310095441342,94760,96109,404,405,-1,0.499027237354086,9.4,0.932513718868721,19621,"Albertville, AL",146552.4083,21.9,65.7,23.2,"Albertville, AL Micro Area",9.8,0
"9","10740",336614,238321,0.707994914055862,901932,916791,60,61,-1,0.499027237354086,8.1,0.770504871764168,25717,"Albuquerque, NM",2404125.6743,22.8,85.4,23.5,"Albuquerque, NM Metro Area",16.9,1
"10","10780",55320,37385,0.675795372378886,154753,153044,268,275,-7,0.493190661478599,10,0.665150271723327,22318,"Alexandria, LA",507906.2315,25.2,80,21.3,"Alexandria, LA Metro Area",13.6,0
"11","10900",313226,236910,0.756354836443973,827048,842913,69,70,-1,0.499027237354086,8.9,0.83852206885211,27190,"Allentown-Bethlehem-Easton, PA-NJ",376387.9943,27,78.7,26.7,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",16.1,1
"12","11020",51284,36070,0.70333827314562,126314,122492,328,338,-10,0.490272373540856,4.8,NA,22340,"Altoona, PA",136181.5246,18.8,80.6,19.8,"Altoona, PA Metro Area",11.1,0
"13","11100",96382,69396,0.720009960366043,259164,268356,184,184,0,0.5,4.7,0.855145776419564,26285,"Amarillo, TX",1333882.9042,18.4,79.5,17,"Amarillo, TX Metro Area",15.2,0
"14","11180",36340,30055,0.82705008255366,92406,98105,412,396,16,0.51556420233463,4.2,0.882507629374716,19876,"Ames, IA",148323.526,16.7,82.9,15.5,"Ames, IA Metro Area",26.8,1
"15","11260",133717,113126,0.846010604485593,396142,399148,135,135,0,0.5,7.4,0.698459138389769,33771,"Anchorage, AK",6815497.5065,22.8,85.1,21.6,"Anchorage, AK Metro Area",18.6,0
"16","11460",137728,113655,0.825213464219331,354240,370963,148,145,3,0.502918287937743,7.8,0.742956752484191,30240,"Ann Arbor, MI",182843.3678,22.9,85.7,22.5,"Ann Arbor, MI Metro Area",25.5,2
"17","11500",43851,29618,0.675423593532645,116736,114277,348,355,-7,0.493190661478599,15.8,0.751927425986842,20792,"Anniston-Oxford-Jacksonville, AL",156924.5411,25.8,77.6,23.4,"Anniston-Oxford, AL Metro Area",12,0
"18","11540",89376,70277,0.786307286072324,229962,237524,197,195,2,0.501945525291829,3.6,0.907993494577365,30421,"Appleton, WI",247549.4072,20,68.9,18.5,"Appleton, WI Metro Area",17.3,0
"19","11700",182426,131899,0.723027419337156,437657,459585,119,118,1,0.500972762645914,6.4,0.908190660722895,23127,"Asheville, NC",526535.7913,21.2,79.8,21.5,"Asheville, NC Metro Area",18.4,0
"20","11780",39393,27063,0.687000228466986,99811,97493,387,402,-15,0.485408560311284,8.3,NA,21330,"Ashtabula, OH",181800.8353,27.7,67.1,26.2,"Ashtabula, OH Micro Area",7.6,0
"21","11980",28070,14831,0.528357677235483,78675,82299,456,443,13,0.512645914396887,10.1,0.890791229742612,20206,"Athens, TX",226294.1927,27.7,80.3,27.5,"Athens, TX Micro Area",9.8,0
"22","12020",71847,51296,0.713961612871797,197357,211802,222,215,7,0.506809338521401,9,0.730858292333183,19105,"Athens-Clarke County, GA",265435.3088,22.7,82.3,21.9,"Athens-Clarke County, GA Metro Area",18.5,1
"23","12060",1954348,1548378,0.792273433390573,5524693,5950828,9,9,0,0.5,9.8,0.561047283532316,28431,"Atlanta-Sandy Springs-Roswell, GA",2248580.951,30,84.7,31.1,"Atlanta-Sandy Springs-Marietta, GA Metro Area",22.7,5
"24","12100",101721,76292,0.750012288514663,275862,265429,171,188,-17,0.483463035019455,12.4,0.686934046733512,24482,"Atlantic City-Hammonton, NJ",143925.6827,24.7,89.9,23,"Atlantic City, NJ Metro Area",16.9,0
"25","12180",30784,21749,0.706503378378378,79477,77145,452,460,-8,0.492217898832685,6.2,0.925513041508864,25404,"Auburn, NY",179121.4123,22.3,74.2,22.9,"Auburn, NY Micro Area",9.1,0
"26","12220",56840,41997,0.738863476425053,150933,163941,278,264,14,0.513618677042802,5.6,0.690054527505582,24032,"Auburn-Opelika, AL",157355.2324,21.7,83.2,19.5,"Auburn-Opelika, AL Metro Area",15.8,1
