Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
I51,"Full-time equivalent telecommunication employees, total ",AFG,Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1550,..,5212,..,..,..,..,..,..,..,..,..,..,..,..,43000,45000,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",ALB,Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4774,4774,4875,4655,4574,4523,4628,4587,4507,4436,4510,3700,3360,3270,2868,3022,3073,3089,4000,..,4240,4166,2957,3230,3119
I51,"Full-time equivalent telecommunication employees, total ",DZA,Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13000,14900,14592,15673,18556,16800,16566,17404,18110,18388,19124,19208,22712,18492,18423,18554,18817,18230,17809,17900,17900,19037,21776,24379,..,102935,107623,..,..,..,31268,31976,32660,33433
I51,"Full-time equivalent telecommunication employees, total ",ASM,American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,140,140,140,140,140,140,146,146,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",AND,Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,105,120,128,135,130,130,..,..,..,..,..,..,..,..,241,245,260,260,260,267,270,246
I51,"Full-time equivalent telecommunication employees, total ",AGO,Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1724,1757,..,..,..,..,..,1820,1899,..,2075,2080,2090,2110,2214,2247,2118,2154,2056,2110,2111,2160,2237,..,..,2912,..,..,..,..,..,4869,5311,6231,6337
I51,"Full-time equivalent telecommunication employees, total ",ATG,Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65,..,..,..,..,..,..,..,..,108,..,..,..,..,..,..,..,..,..,470,184,..,..,..,..,..,..,..,247,345,408,404,238,..
I51,"Full-time equivalent telecommunication employees, total ",ARG,Argentina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48860,47000,44880,45420,43620,44310,44810,48398,46732,47427,46349,40154,56462,56110,55370,40772,35286,36293,33736,31289,29690,27264,23089,21226,19461,20533,20221,20113,21880,22921,..,21244,..,..,..,..,..,..,..,19981
I51,"Full-time equivalent telecommunication employees, total ",ARM,Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7000,7000,7000,10840,9300,9500,8817,8420,7945,7729,7159,5910,5758,5388,5286,..,..,4100,4400,4601,4627,5158,5470,5605
I51,"Full-time equivalent telecommunication employees, total ",ABW,Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,200,230,..,282,292,270,..,354,..,443,..,..,372,420,418,401,399,409,417,..,..,..,364,368,390,377,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",AUS,Australia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87500,87400,87400,87444,87440,88230,90000,88095,88524,88488,93287,94473,92487,86832,84183,87018,81106,77953,72164,79800,87100,100500,93100,75400,85000,102800,104300,87200,97300,88200,97300,94000,92800,113000,90000,91000,95700,97100,..,..
I51,"Full-time equivalent telecommunication employees, total ",AUT,Austria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17000,17000,17000,17000,17000,17000,17783,17930,18111,18192,18239,18292,18255,18471,18392,18415,18305,18285,18019,17832,17375,17220,17600,18720,18650,18560,32152,26900,19900,19800,19300,17916,17837,16725,15279,16100,15600,15100,14700,14200
I51,"Full-time equivalent telecommunication employees, total ",AZE,Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14700,11353,13500,13950,14000,14500,12115,11416,11212,9960,8756,8142,8900,17912,14539,13506,15647,16240,16347,16449,18300,19933,21047,21459
I51,"Full-time equivalent telecommunication employees, total ",BHS,Bahamas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,988,976,998,997,1060,1100,1300,1289,1436,1532,1648,1647,..,1852,2030,2167,2304,2359,2305,..,2415,2258,2216,..,1249,1109,1115,1141,1137,1194,1184,1217,1236,1240,1214,1191,..,..,..,1251
I51,"Full-time equivalent telecommunication employees, total ",BHR,Bahrain,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1850,..,1921,1962,1979,2023,2072,2054,2100,2093,2122,2122,2090,2070,2102,2139,2074,2049,2100,2118,2089,2038,1879,1617,1923,2216,1942,2380,2470,2500,2570,2708,3141,3000,3100
I51,"Full-time equivalent telecommunication employees, total ",BGD,Bangladesh,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17444,18312,18759,18793,19239,19239,19165,19165,19165,19165,19300,19300,19300,19300,19300,19317,18620,16098,19814,..,..,..,..,..,..,..,320000,470000,550000,573988,596619,607221
I51,"Full-time equivalent telecommunication employees, total ",BRB,Barbados,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,654,700,730,750,800,800,830,883,874,967,995,990,1008,1010,1013,1007,999,1003,990,1100,888,1032,..,..,919,..,..,..,..,..,..,..,..,..,252
I51,"Full-time equivalent telecommunication employees, total ",BLR,Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16900,29000,27000,26000,25594,24867,25744,26283,26782,26686,26614,26484,26614,26662,26330,..,..,..,..,29200,28386,26821,25445,..
I51,"Full-time equivalent telecommunication employees, total ",BEL,Belgium,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28700,28100,27500,28100,28800,28856,29187,29474,28996,28394,27609,26996,26664,26331,25892,26295,26808,26501,25643,26620,25240,25634,24915,23886,25074,28495,28276,24494,23291,23921,22445,21284,22311,18906,19309,19010,19102,18999,18594,18247
I51,"Full-time equivalent telecommunication employees, total ",BLZ,Belize,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,128,138,140,160,175,181,181,193,193,..,..,..,321,335,392,398,398,387,388,365,359,316,380,403,399,417,412,482,442,494,493,..,..,443,475,500,499,..,..
I51,"Full-time equivalent telecommunication employees, total ",BEN,Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1200,1200,1200,1197,..,1300,1300,1258,1560,1531,1528,1424,1389,1327,1288,1267,1242,1225,1231,1261,1214,1264,1331,1388,1309,2233,1976,2291,2191,1757,1406,1426
I51,"Full-time equivalent telecommunication employees, total ",BMU,Bermuda,..,..,..,..,..,270,..,..,..,..,323,..,..,..,..,376,366,357,367,371,396,434,414,396,393,391,394,394,392,409,411,408,408,407,401,380,406,431,458,442,457,456,476,..,579,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",BTN,Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,350,350,468,519,496,482,466,433,346,378,400,..,667,667,806,..,620,733,763,801,801,844,1013
