GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
EST_VC02,Estimate; EMPLOYMENT STATUS - Population 16 years and over
MOE_VC02,Margin of Error; EMPLOYMENT STATUS - Population 16 years and over
EST_VC03,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force
MOE_VC03,Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - In labor force
EST_VC04,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
MOE_VC04,Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
EST_VC05,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
MOE_VC05,Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
EST_VC06,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
MOE_VC06,Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
EST_VC07,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
MOE_VC07,Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
EST_VC08,Estimate; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force
MOE_VC08,Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force
EST_VC09,Estimate; EMPLOYMENT STATUS - Civilian labor force
MOE_VC09,Margin of Error; EMPLOYMENT STATUS - Civilian labor force
EST_VC10,Estimate; EMPLOYMENT STATUS - Civilian labor force - Unemployed
MOE_VC10,Margin of Error; EMPLOYMENT STATUS - Civilian labor force - Unemployed
EST_VC11,Estimate; EMPLOYMENT STATUS - Females 16 years and over
MOE_VC11,Margin of Error; EMPLOYMENT STATUS - Females 16 years and over
EST_VC12,Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force
MOE_VC12,Margin of Error; EMPLOYMENT STATUS - Females 16 years and over - In labor force
EST_VC13,Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force
MOE_VC13,Margin of Error; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force
EST_VC14,Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force - Employed
MOE_VC14,Margin of Error; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force - Employed
EST_VC15,Estimate; EMPLOYMENT STATUS - Own children under 6 years
MOE_VC15,Margin of Error; EMPLOYMENT STATUS - Own children under 6 years
EST_VC16,Estimate; EMPLOYMENT STATUS - Own children under 6 years - All parents in family in labor force
MOE_VC16,Margin of Error; EMPLOYMENT STATUS - Own children under 6 years - All parents in family in labor force
EST_VC17,Estimate; EMPLOYMENT STATUS - Own children 6 to 17 years
MOE_VC17,Margin of Error; EMPLOYMENT STATUS - Own children 6 to 17 years
EST_VC18,Estimate; EMPLOYMENT STATUS - Own children 6 to 17 years - All parents in family in labor force
MOE_VC18,Margin of Error; EMPLOYMENT STATUS - Own children 6 to 17 years - All parents in family in labor force
EST_VC20,Estimate; COMMUTING TO WORK - Workers 16 years and over
