GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 18 to 24 years
HC01_MOE_VC01,Total; Margin of Error; Population 18 to 24 years
HC02_EST_VC01,Male; Estimate; Population 18 to 24 years
HC02_MOE_VC01,Male; Margin of Error; Population 18 to 24 years
HC03_EST_VC01,Female; Estimate; Population 18 to 24 years
HC03_MOE_VC01,Female; Margin of Error; Population 18 to 24 years
HC01_EST_VC02,Total; Estimate; Population 18 to 24 years - Less than high school graduate
HC01_MOE_VC02,Total; Margin of Error; Population 18 to 24 years - Less than high school graduate
HC02_EST_VC02,Male; Estimate; Population 18 to 24 years - Less than high school graduate
HC02_MOE_VC02,Male; Margin of Error; Population 18 to 24 years - Less than high school graduate
HC03_EST_VC02,Female; Estimate; Population 18 to 24 years - Less than high school graduate
HC03_MOE_VC02,Female; Margin of Error; Population 18 to 24 years - Less than high school graduate
HC01_EST_VC03,Total; Estimate; Population 18 to 24 years - High school graduate (includes equivalency)
HC01_MOE_VC03,Total; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency)
HC02_EST_VC03,Male; Estimate; Population 18 to 24 years - High school graduate (includes equivalency)
HC02_MOE_VC03,Male; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency)
HC03_EST_VC03,Female; Estimate; Population 18 to 24 years - High school graduate (includes equivalency)
HC03_MOE_VC03,Female; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency)
HC01_EST_VC04,Total; Estimate; Population 18 to 24 years - Some college or associate's degree
HC01_MOE_VC04,Total; Margin of Error; Population 18 to 24 years - Some college or associate's degree
HC02_EST_VC04,Male; Estimate; Population 18 to 24 years - Some college or associate's degree
HC02_MOE_VC04,Male; Margin of Error; Population 18 to 24 years - Some college or associate's degree
HC03_EST_VC04,Female; Estimate; Population 18 to 24 years - Some college or associate's degree
HC03_MOE_VC04,Female; Margin of Error; Population 18 to 24 years - Some college or associate's degree
HC01_EST_VC05,Total; Estimate; Population 18 to 24 years - Bachelor's degree or higher
HC01_MOE_VC05,Total; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher
HC02_EST_VC05,Male; Estimate; Population 18 to 24 years - Bachelor's degree or higher
HC02_MOE_VC05,Male; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher
HC03_EST_VC05,Female; Estimate; Population 18 to 24 years - Bachelor's degree or higher
HC03_MOE_VC05,Female; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher
HC01_EST_VC06,Total; Estimate; Population 25 years and over
HC01_MOE_VC06,Total; Margin of Error; Population 25 years and over
HC02_EST_VC06,Male; Estimate; Population 25 years and over
HC02_MOE_VC06,Male; Margin of Error; Population 25 years and over
HC03_EST_VC06,Female; Estimate; Population 25 years and over
HC03_MOE_VC06,Female; Margin of Error; Population 25 years and over
HC01_EST_VC07,Total; Estimate; Population 25 years and over - No schooling completed
HC01_MOE_VC07,Total; Margin of Error; Population 25 years and over - No schooling completed
HC02_EST_VC07,Male; Estimate; Population 25 years and over - No schooling completed
HC02_MOE_VC07,Male; Margin of Error; Population 25 years and over - No schooling completed
HC03_EST_VC07,Female; Estimate; Population 25 years and over - No schooling completed
HC03_MOE_VC07,Female; Margin of Error; Population 25 years and over - No schooling completed
HC01_EST_VC08,Total; Estimate; Population 25 years and over - Nursery to 4th grade
HC01_MOE_VC08,Total; Margin of Error; Population 25 years and over - Nursery to 4th grade
HC02_EST_VC08,Male; Estimate; Population 25 years and over - Nursery to 4th grade
HC02_MOE_VC08,Male; Margin of Error; Population 25 years and over - Nursery to 4th grade
HC03_EST_VC08,Female; Estimate; Population 25 years and over - Nursery to 4th grade
HC03_MOE_VC08,Female; Margin of Error; Population 25 years and over - Nursery to 4th grade
HC01_EST_VC09,Total; Estimate; Population 25 years and over - 5th and 6th grade
HC01_MOE_VC09,Total; Margin of Error; Population 25 years and over - 5th and 6th grade
HC02_EST_VC09,Male; Estimate; Population 25 years and over - 5th and 6th grade
HC02_MOE_VC09,Male; Margin of Error; Population 25 years and over - 5th and 6th grade
HC03_EST_VC09,Female; Estimate; Population 25 years and over - 5th and 6th grade
HC03_MOE_VC09,Female; Margin of Error; Population 25 years and over - 5th and 6th grade
HC01_EST_VC10,Total; Estimate; Population 25 years and over - 7th and 8th grade
HC01_MOE_VC10,Total; Margin of Error; Population 25 years and over - 7th and 8th grade
HC02_EST_VC10,Male; Estimate; Population 25 years and over - 7th and 8th grade
HC02_MOE_VC10,Male; Margin of Error; Population 25 years and over - 7th and 8th grade
