"GEO_ID","id",
"NAME","Geographic Area Name",
"S2301_C01_001E","Total!!Estimate!!Population 16 years and over",
"S2301_C01_001M","Total!!Margin of Error!!Population 16 years and over",
"S2301_C01_002E","Total!!Estimate!!AGE!!16 to 19 years",
"S2301_C01_002M","Total!!Margin of Error!!AGE!!16 to 19 years",
"S2301_C01_003E","Total!!Estimate!!AGE!!20 to 24 years",
"S2301_C01_003M","Total!!Margin of Error!!AGE!!20 to 24 years",
"S2301_C01_004E","Total!!Estimate!!AGE!!25 to 44 years",
"S2301_C01_004M","Total!!Margin of Error!!AGE!!25 to 44 years",
"S2301_C01_005E","Total!!Estimate!!AGE!!45 to 54 years",
"S2301_C01_005M","Total!!Margin of Error!!AGE!!45 to 54 years",
"S2301_C01_006E","Total!!Estimate!!AGE!!55 to 64 years",
"S2301_C01_006M","Total!!Margin of Error!!AGE!!55 to 64 years",
"S2301_C01_007E","Total!!Estimate!!AGE!!65 to 74 years",
"S2301_C01_007M","Total!!Margin of Error!!AGE!!65 to 74 years",
"S2301_C01_008E","Total!!Estimate!!AGE!!75 years and over",
"S2301_C01_008M","Total!!Margin of Error!!AGE!!75 years and over",
"S2301_C01_009E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race",
"S2301_C01_009M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race",
"S2301_C01_010E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White",
"S2301_C01_010M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White",
"S2301_C01_011E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American",
"S2301_C01_011M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American",
"S2301_C01_012E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native",
"S2301_C01_012M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native",
"S2301_C01_013E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian",
